id_bano,numero_voie,nom_voie,code_postal,nom_commume,code_source_bano,latitude,longitude,code_departement,libelle_source
07136b5bbb-3358,3358,Route des Cévennes,48250,Laveyrune,C+O,44.593272,3.90595,48,Cadastre GSM
07136b5bbb-3361,3361,Route des Cévennes,48250,Laveyrune,C+O,44.593227,3.906071,48,Cadastre GSM
07136b5bbb-3365,3365,Route des Cévennes,48250,Laveyrune,C+O,44.593193,3.906058,48,Cadastre GSM
07136b5bbb-3377,3377,Route des Cévennes,48250,Laveyrune,C+O,44.593079,3.906031,48,Cadastre GSM
07136b5bbb-3380,3380,Route des Cévennes,48250,Laveyrune,C+O,44.593089,3.905783,48,Cadastre GSM
07136b5bbb-3385,3385,Route des Cévennes,48250,Laveyrune,C+O,44.593016,3.906002,48,Cadastre GSM
07136b5bbb-3390,3390,Route des Cévennes,48250,Laveyrune,C+O,44.592999,3.905781,48,Cadastre GSM
07136b5bbb-3401,3401,Route des Cévennes,48250,Laveyrune,C+O,44.592875,3.905953,48,Cadastre GSM
07136b5bbb-3410,3410,Route des Cévennes,48250,Laveyrune,C+O,44.592815,3.905795,48,Cadastre GSM
07136b5bbb-3411,3411,Route des Cévennes,48250,Laveyrune,C+O,44.592783,3.905929,48,Cadastre GSM
07136b5bbb-3432,3432,Route des Cévennes,48250,Laveyrune,C+O,44.59262,3.905736,48,Cadastre GSM
07136b5bbb-3436,3436,Route des Cévennes,48250,Laveyrune,C+O,44.592586,3.905717,48,Cadastre GSM
07136b5bbb-375,375,Route des Cévennes,48250,Laveyrune,C+O,44.613454,3.896827,48,Cadastre GSM
07136b5bbb-514,514,Route des Cévennes,48250,Laveyrune,C+O,44.613848,3.899024,48,Cadastre GSM
07136b5bbb-580,580,Route des Cévennes,48250,Laveyrune,C+O,44.613824,3.899791,48,Cadastre GSM
07136b5bbb-607,607,Route des Cévennes,48250,Laveyrune,C+O,44.613964,3.900237,48,Cadastre GSM
07136b5bbb-622,622,Route des Cévennes,48250,Laveyrune,C+O,44.613528,3.900101,48,Cadastre GSM
07136b5bbb-625,625,Route des Cévennes,48250,Laveyrune,C+O,44.613841,3.900406,48,Cadastre GSM
07136b5bbb-647,647,Route des Cévennes,48250,Laveyrune,C+O,44.613709,3.900621,48,Cadastre GSM
07136b5bbb-693,693,Route des Cévennes,48250,Laveyrune,C+O,44.61361,3.901127,48,Cadastre GSM
07136b6bbb-17,17,Chemin de Labro,48250,Laveyrune,C+O,44.634785,3.895155,48,Cadastre GSM
07136b6bbb-29,29,Chemin de Labro,48250,Laveyrune,C+O,44.634701,3.895342,48,Cadastre GSM
07136b6bbb-5,5,Chemin de Labro,48250,Laveyrune,C+O,44.634755,3.894997,48,Cadastre GSM
07136b7bbb-32,32,impasse des lilas,48250,Laveyrune,CAD,44.614835,3.898272,48,Cadastre
07136b8bbb-118,118,rue des galets,48250,Laveyrune,CAD,44.630714,3.894779,48,Cadastre
07136b8bbb-13,13,rue des galets,48250,Laveyrune,CAD,44.631676,3.894932,48,Cadastre
07136b8bbb-1412,1412,rue des galets,48250,Laveyrune,CAD,44.61936,3.89815,48,Cadastre
07136b8bbb-162,162,rue des galets,48250,Laveyrune,CAD,44.630326,3.894826,48,Cadastre
07136b8bbb-167,167,rue des galets,48250,Laveyrune,CAD,44.630273,3.894951,48,Cadastre
07136b8bbb-188,188,rue des galets,48250,Laveyrune,CAD,44.630095,3.894763,48,Cadastre
07136b8bbb-208,208,rue des galets,48250,Laveyrune,CAD,44.62992,3.894693,48,Cadastre
07136b8bbb-21,21,rue des galets,48250,Laveyrune,CAD,44.631597,3.894934,48,Cadastre
07136b8bbb-217,217,rue des galets,48250,Laveyrune,CAD,44.629822,3.89491,48,Cadastre
07136b8bbb-247,247,rue des galets,48250,Laveyrune,CAD,44.629556,3.894892,48,Cadastre
07136b8bbb-259,259,rue des galets,48250,Laveyrune,CAD,44.629441,3.894937,48,Cadastre
07136b8bbb-271,271,rue des galets,48250,Laveyrune,CAD,44.629315,3.895173,48,Cadastre
07136b8bbb-318,318,rue des galets,48250,Laveyrune,CAD,44.628932,3.894601,48,Cadastre
07136b8bbb-320,320,rue des galets,48250,Laveyrune,CAD,44.628915,3.894595,48,Cadastre
07136b8bbb-501,501,rue des galets,48250,Laveyrune,CAD,44.627292,3.894563,48,Cadastre
07136b9bbb-31,31,impasse des sorbiers,48250,Laveyrune,CAD,44.633697,3.894942,48,Cadastre
480020020G-447,447,Route Nationale No 9,48200,Albaret-Sainte-Marie,CAD,44.879976,3.246895,48,Cadastre
480020022J-108,108,Chemin de Combejouves,48200,Albaret-Sainte-Marie,C+O,44.878548,3.246989,48,Cadastre GSM
480020022J-23,23,Chemin de Combejouves,48200,Albaret-Sainte-Marie,C+O,44.878548,3.246989,48,Cadastre GSM
480020022J-30,30,Chemin de Combejouves,48200,Albaret-Sainte-Marie,C+O,44.878548,3.246989,48,Cadastre GSM
480020022J-53,53,Chemin de Combejouves,48200,Albaret-Sainte-Marie,C+O,44.878548,3.246989,48,Cadastre GSM
480020022J-56,56,Chemin de Combejouves,48200,Albaret-Sainte-Marie,C+O,44.878548,3.246989,48,Cadastre GSM
480020024L-130,130,Rue de l'Estivalet,48200,Albaret-Sainte-Marie,C+O,44.88221,3.249887,48,Cadastre GSM
480020024L-28,28,Rue de l'Estivalet,48200,Albaret-Sainte-Marie,C+O,44.88221,3.249887,48,Cadastre GSM
480020024L-72,72,Rue de l'Estivalet,48200,Albaret-Sainte-Marie,OSM,44.882062,3.24981,48,OpenData GSM
480020025M-108,108,Rue de l'Ouradou,48200,Albaret-Sainte-Marie,C+O,44.888114,3.260865,48,Cadastre GSM
480020026N-34,34,Impasse de Marcilly,48200,Albaret-Sainte-Marie,C+O,44.882684,3.251002,48,Cadastre GSM
480020026N-49,49,Impasse de Marcilly,48200,Albaret-Sainte-Marie,C+O,44.882684,3.251002,48,Cadastre GSM
480020026N-51,51,Impasse de Marcilly,48200,Albaret-Sainte-Marie,C+O,44.882684,3.251002,48,Cadastre GSM
480020029S-10,10,Impasse des Ecureuils,48200,Albaret-Sainte-Marie,CAD,44.878387,3.247616,48,Cadastre
480020029S-17,17,Impasse des Ecureuils,48200,Albaret-Sainte-Marie,CAD,44.878387,3.247616,48,Cadastre
480020029S-36,36,Impasse des Ecureuils,48200,Albaret-Sainte-Marie,CAD,44.878387,3.247616,48,Cadastre
